data_size,crossover_rate,mutation_rate,elite_percentage,execution_time,final_fitness
50,0.3,0.3,0.2,1.2340127999996184,0.9512666666666666
50,0.3,0.3,0.8,0.13642369999979564,0.8826666666666669
50,0.3,0.8,0.2,1.5791478999999526,0.9478
50,0.3,0.8,0.8,0.19325190000017756,0.9203999999999999
50,0.8,0.3,0.2,3.2863114000010683,0.9422666666666668
50,0.8,0.3,0.8,0.7416857999996864,0.8770666666666667
50,0.8,0.8,0.2,3.6739393999996537,0.9267999999999998
50,0.8,0.8,0.8,0.7535819999993691,0.9237333333333334
100,0.3,0.3,0.2,4.280823200000668,0.9092999999999998
100,0.3,0.3,0.8,0.4637200000015582,0.7770333333333335
100,0.3,0.8,0.2,5.110193099999378,0.9323
100,0.3,0.8,0.8,0.6293208999995841,0.8437000000000001
100,0.8,0.3,0.2,13.08373820000088,0.9158000000000002
100,0.8,0.3,0.8,2.7208229999996547,0.8061666666666667
100,0.8,0.8,0.2,13.248771600001419,0.9133000000000001
100,0.8,0.8,0.8,2.841809799998373,0.8472333333333333
150,0.3,0.3,0.2,9.727530899999692,0.8688888888888888
150,0.3,0.3,0.8,1.1451292000001558,0.7522666666666666
150,0.3,0.8,0.2,11.232819100001507,0.9027999999999998
150,0.3,0.8,0.8,1.156811300001209,0.8120444444444445
150,0.8,0.3,0.2,28.137116500000047,0.8773555555555553
150,0.8,0.3,0.8,5.9638168000001315,0.7593333333333333
150,0.8,0.8,0.2,29.854347599999528,0.8987333333333334
150,0.8,0.8,0.8,6.079061500000535,0.7986000000000001
200,0.3,0.3,0.2,15.512560199998916,0.8385166666666667
200,0.3,0.3,0.8,2.272659399999611,0.7165166666666666
200,0.3,0.8,0.2,19.0174205000003,0.8748333333333335
200,0.3,0.8,0.8,2.167025400000057,0.7402833333333334
200,0.8,0.3,0.2,48.37086629999976,0.8416166666666667
200,0.8,0.3,0.8,10.422674700001153,0.6958666666666666
200,0.8,0.8,0.2,52.48511299999882,0.8798833333333332
200,0.8,0.8,0.8,11.2280836000009,0.7440666666666667
